WORD,COUNT,RANK
"thanes,",3,827
that:,3,828
thee.,3,829
them.,3,830
themselues,3,831
"themselues,",3,832
thence,3,833
there:,3,834
therefore,3,835
thick,3,836
"thine,",3,837
this?,3,838
throat,3,839
"throne,",3,840
time.,3,841
times,3,842
tongue:,3,843
"too,",3,844
tree,3,845
turne,3,846
twenty,3,847
"tyrant,",3,848
valiant,3,849
villaine,3,850
vnto,3,851
"vp,",3,852
vs?,3,853
wake,3,854
warlike,3,855
wash,3,856
water,3,857
weare,3,858
welcome:,3,859
weyard,3,860
weyward,3,861
wherefore,3,862
"who,",3,863
wilde,3,864
wisedome,3,865
"wisedome,",3,866
wish,3,867
witches,3,868
"withall,",3,869
womans,3,870
word,3,871
worse,3,872
worst,3,873
worth,3,874
ye,3,875
"yet,",3,876
yong,3,877
&c.,2,878
(my,2,879
2.murth.,2,880
abide,2,881
aboue,2,882
"about,",2,883
absence,2,884
according,2,885
accursed,2,886
act,2,887
"act,",2,888
adde,2,889
"addition,",2,890
aduise,2,891
againe?,2,892
alas,2,893
all?,2,894
alone,2,895
angell,2,896
"anon,",2,897
"apparation,",2,898
are:,2,899
art.,2,900
ask'd,2,901
"at,",2,902
"babes,",2,903
"backe,",2,904
banners,2,905
banquet,2,906
banquo:,2,907
"beare,",2,908
beares,2,909
beate,2,910
became,2,911
"beene,",2,912
before.,2,913
begin,2,914
behold,2,915
"beleeue,",2,916
bell.,2,917
besides,2,918
betimes,2,919
betweene,2,920
beware,2,921
beyond,2,922
bird,2,923
birds,2,924
birnane,2,925
blame,2,926
"bleed,",2,927
blessing,2,928
"bloody,",2,929
bold,2,930
bones,2,931
"borne,",2,932
borne.,2,933
bosome,2,934
"bosome,",2,935
both:,2,936
bought,2,937
"braine,",2,938
braines,2,939
braue,2,940
"breed,",2,941
bright,2,942
"broad,",2,943
brought,2,944
byrnan,2,945
calls,2,946
canst,2,947
cat,2,948
"cathnes,",2,949
causes,2,950
"caution,",2,951
cawdor:,2,952
chamber?,2,953
"chance,",2,954
charg'd,2,955
charge,2,956
charmed,2,957
"charmes,",2,958
chiefe,2,959
childe,2,960
"children,",2,961
cleaue,2,962
cling,2,963
clock,2,964
close,2,965
cold.,2,966
come.,2,967
comes:,2,968
commend,2,969
common,2,970
confirm'd,2,971
confound,2,972
contend,2,973
"country,",2,974
"courage,",2,975
court,2,976
"cousin,",2,977
crown'd,2,978
"crowne,",2,979
cry'd,2,980
cumberland:,2,981
cure,2,982
cursed,2,983
cut,2,984
"daggers,",2,985
danger,2,986
dares,2,987
darknesse,2,988
day.,2,989
dead:,2,990
deare,2,991
death.,2,992
"deed,",2,993
deeds,2,994
"defence,",2,995
delight,2,996
descends.,2,997
"deseru'd,",2,998
deserues,2,999
destruction,2,1000
deuill,2,1001
disease,2,1002
dismall,2,1003
dispaire,2,1004
doctor,2,1005
doctor.,2,1006
doing,2,1007
donal.,2,1008
donalbaine,2,1009
donalbane,2,1010
done?,2,1011
"doore,",2,1012
dost,2,1013
doubtfull,2,1014
draw,2,1015
"drinke,",2,1016
"drop,",2,1017
drowne,2,1018
drumme,2,1019
"duncan,",2,1020
duties,2,1021
"duties,",2,1022
dy'd,2,1023
dye,2,1024
earnest,2,1025
easie,2,1026
eaten,2,1027
edge,2,1028
end,2,1029
enough,2,1030
enough.,2,1031
estate,2,1032
eternall,2,1033
"eyes,",2,1034
eyes.,2,1035
faces?,2,1036
faile?,2,1037
faith,2,1038
famine,2,1039
fancies,2,1040
"fantasticall,",2,1041
